AlarmName,AlarmAction,CoreSystemsAction,Severity,MidasPolicyCondition
Storage DRS recommendation,SendEmail,SendEmail,Minor,
alarm.VdcsHealthAlarm,SendEmail,SendEmail,Minor,
Appliance Management Health Alarm,SendSNMP,SendEmail,Minor,
Cannot connect to storage,SendSNMP,SendSNMP,Major,"Cannot connect to storage (non-normal), Cannot connect to storage (ACK)"
Cannot find vSphere HA master agent,SendSNMP,SendSNMP,Major,"Cannot find vSphere HA master agent (minor), Cannot find vSphere HA master agent (ACK)  "
Content Library Service Health Alarm,SendSNMP,SendEmail,Info,
Data Service Health Alarm,SendSNMP,SendEmail,Info,
Datastore cluster is out of space,SendSNMP,SendSNMP,Major,"Datastore cluster is out of space (Warning/Minor), Datastore cluster is out of space (ACK)"
Datastore compliance alarm,SendSNMP,SendSNMP,NA,Datastore compliance alarm (minor) 
Datastore usage on disk,SendSNMP,SendSNMP,Major,"Datastore usage on disk (non-normal), Datastore usage on disk (ACK)"
Datastore usage on disk,SendEmail,SendEmail,Major,
ESX Agent Manager Health Alarm,SendSNMP,SendSNMP,Info,
Exit standby error,SendEmail,SendEmail,Minor,
Expired host license,SendEmail,SendEmail,Info,
Expired vCenter Server license,SendSNMP,SendEmail,Minor,
Expired vCenter Server license,SendEmail,SendSNMP,Minor,
Health status changed alarm,SendSNMP,SendSNMP,Major,"Health status changed alarm (non-normal), Health status changed alarm (ACK)"
Host Baseboard Management Controller status,SendSNMP,SendEmail,Info,
Host battery status,SendEmail,SendEmail,Info,
Host connection and power state,SendSNMP,SendSNMP,Major,"Host connection and power state (non-normal), Host connection and power state (ACK)"
Host connection and power state,SendEmail,SendEmail,Major,
Host connection failure,SendSNMP,SendSNMP,Major,"Host connection failure (non-normal), Host connection failure (ACK)"
Host CPU usage,SendEmail,SendEmail,Info,
Host error,SendEmail,SendEmail,Major,
Host error,SendSNMP,SendSNMP,Info,
Host hardware fan status,SendSNMP,SendEmail,Minor,
Host hardware power status,SendSNMP,SendEmail,Minor,
Host hardware sensor state,SendSNMP,SendEmail,Minor,
Host hardware system board status,SendSNMP,SendEmail,Minor,
Host hardware temperature status,SendSNMP,SendEmail,Minor,
Host hardware voltage,SendSNMP,SendEmail,Minor,
Host IPMI System Event Log status,SendSNMP,SendSNMP,Minor,
Host IPMI System Event Log status,SendEmail,SendEmail,Minor,
Host memory status,SendEmail,SendEmail,Info,
Host memory usage,SendEmail,SendEmail,Info,
Host processor status,SendEmail,SendEmail,Info,
Identity Health Alarm,SendSNMP,SendEmail,Info,
Insufficient vSphere HA failover resources,SendSNMP,SendSNMP,Major,Insufficient vSphere HA failover resources (minor)
License error,SendSNMP,SendEmail,Info,
License error,SendEmail,SendEmail,Minor,
License inventory monitoring,SendEmail,SendEmail,Minor,
License inventory monitoring,SendSNMP,SendEmail,Info,
License user threshold monitoring,SendEmail,SendEmail,Minor,
Message Bus Config Health Alarm,SendEmail,SendEmail,Info,
Message Bus Config Health Alarm,SendSNMP,SendSNMP,Info,
Network connectivity lost,SendSNMP,SendSNMP,Major,"Network connectivity lost (non-normal), Network connectivity lost (ACK)"
Network uplink redundancy degraded,SendSNMP,SendSNMP,Major,"Network uplink redundancy degraded (non-normal, Network uplink redundancy degraded (ACK)"
Network uplink redundancy lost,SendSNMP,SendSNMP,Major,"Network uplink redundancy lost (non-normal), Network uplink redundancy lost (ACK) "
